event_id,action_id,round_id,buyer_offer_id,buyer_id,listing_id,property_id,agent_id,action_price,sales_price,original_list_price,final_listing_price,unit_sales_price,de_action_price,de_sales_price,de_unit_sales_price,de_original_list_price,de_final_listing_price,actor,action,multiple_buyers,multiple_buyers_adjusted,number_of_additional_offers,number_of_add_offers_adjusted,total_num_buyers_action,total_num_buyers_round,total_num_buyers_event,deal_status,censustract,property_latitude,property_longitude,property_type,num_bedrooms,num_bathrooms,approx_sq_ft,lot_sq_ft,financing_contingency_waived,inspection_contingency_waived,escalation_clause,preinspection,client_letter,year_built,deal_status_notes,walk_score,transit_score,bike_score,prob_offer_sub_date,listing_date,off_market_date,sales_date,offer_submitted_date,offer_accepted_date,action_date,zipcode,listing_year
88c956121830e78975d2017f760901cf_2018-11-08,1,1,,,7f5bbba589cafe5dcaa57c7709ff1587,88c956121830e78975d2017f760901cf,,4.00E+05,395000,4.00E+05,4.00E+05,176.0249481,347926.0313,337688.8438,150.4852142,347926.0313,347926.0313,seller,seller_initialize,,,NA,NA,NA,1,1,,42017105507,40.2093544,-74.83287811,Single Family Residential,4,2.5,2244,15000,TRUE,FALSE,FALSE,FALSE,FALSE,1969,NA,14,NA,30,0,2018/11/8 00:00,2018/11/20,2019/2/13 00:00,2018/11/17 17:43,,2018/11/8,19067,2018
8af385e103e0915050f75a47a31b4bd4_2019-05-10,1,1,,,ac7d1ab00033687582254c3b79095c43,8af385e103e0915050f75a47a31b4bd4,,1.00E+06,968000,1.00E+06,1.00E+06,199.0950165,854908.4375,827551.375,170.2080078,854908.4375,854908.4375,seller,seller_initialize,,,NA,NA,NA,1,1,,25021415300,42.21520996,-71.1285553,Multi-Family (2-4 Unit),5,3.5,4862,132422,FALSE,FALSE,FALSE,FALSE,FALSE,1990,NA,12,NA,29,0,2019/5/9 23:59,2019/5/28,2019/9/23 00:00,2019/5/24 09:14,,2019/5/9,2021,2019
8af385e103e0915050f75a47a31b4bd4_2019-05-10,2,1,d9b42dafb678b83b30a0e4b2d916efdf,a82778ab5d488b7e33d03c405997d240,ac7d1ab00033687582254c3b79095c43,8af385e103e0915050f75a47a31b4bd4,2de5d16682c3c35007e4e92982f1a2ba,968000,968000,1.00E+06,1.00E+06,199.0950165,827551.375,827551.375,170.2080078,854908.4375,854908.4375,buyer,buyer_offer,FALSE,FALSE,NA,0,1,1,1,Closed (Success),25021415300,42.21520996,-71.1285553,Multi-Family (2-4 Unit),5,3.5,4862,132422,FALSE,FALSE,FALSE,FALSE,FALSE,1990,NA,12,NA,29,0,2019/5/9 23:59,2019/5/28,2019/9/23 00:00,2019/5/24 09:14,2019/5/25 23:59,2019/5/24,2021,2019
8b2995297ba4971cafbbbbf90fc8a253_2014-04-12,5,4,,,ea96903a66f73edc5b6732c12f33559a,8b2995297ba4971cafbbbbf90fc8a253,,324950,NA,349500,324950,NA,301226.1875,NA,NA,323983.8438,301226.1875,seller,seller_revise,,,NA,NA,NA,NA,1,,53061041901,47.91587067,-122.2975464,Single Family Residential,3,2.25,1794,9583,FALSE,FALSE,FALSE,FALSE,FALSE,1990,NA,45,NA,33,0,2014/4/11 23:59,2014/9/18,,2014/7/19 09:39,,2014/8/12,98275,2014
8b2995297ba4971cafbbbbf90fc8a253_2014-04-12,2,2,,,ea96903a66f73edc5b6732c12f33559a,8b2995297ba4971cafbbbbf90fc8a253,,335000,NA,349500,324950,NA,310542.4688,NA,NA,323983.8438,301226.1875,seller,seller_revise,,,NA,NA,NA,NA,1,,53061041901,47.91587067,-122.2975464,Single Family Residential,3,2.25,1794,9583,FALSE,FALSE,FALSE,FALSE,FALSE,1990,NA,45,NA,33,0,2014/4/11 23:59,2014/9/18,,2014/7/19 09:39,,2014/5/4,98275,2014
8b2995297ba4971cafbbbbf90fc8a253_2014-04-12,4,3,ce2ebe2c0208d336c94fa5e0c9c1a7b0,4de95393401baba36aef47689a2ebb18,ea96903a66f73edc5b6732c12f33559a,8b2995297ba4971cafbbbbf90fc8a253,8e54d6b523b279543ac12a0f7333cd3c,315000,NA,349500,324950,NA,292002.625,NA,NA,323983.8438,301226.1875,buyer,buyer_offer,FALSE,FALSE,NA,0,1,1,1,Offer Failed Due to Failed Inspection,53061041901,47.91587067,-122.2975464,Single Family Residential,3,2.25,1794,9583,FALSE,FALSE,FALSE,FALSE,FALSE,1990,NA,45,NA,33,0,2014/4/11 23:59,2014/9/18,,2014/7/19 09:39,2014/7/18 00:00,2014/7/19,98275,2014
8b2995297ba4971cafbbbbf90fc8a253_2014-04-12,1,1,,,ea96903a66f73edc5b6732c12f33559a,8b2995297ba4971cafbbbbf90fc8a253,,349500,NA,349500,324950,NA,323983.8438,NA,NA,323983.8438,301226.1875,seller,seller_initialize,,,NA,NA,NA,NA,1,,53061041901,47.91587067,-122.2975464,Single Family Residential,3,2.25,1794,9583,FALSE,FALSE,FALSE,FALSE,FALSE,1990,NA,45,NA,33,0,2014/4/11 23:59,2014/9/18,,2014/7/19 09:39,,2014/4/11,98275,2014
8b2995297ba4971cafbbbbf90fc8a253_2014-04-12,3,3,,,ea96903a66f73edc5b6732c12f33559a,8b2995297ba4971cafbbbbf90fc8a253,,329000,NA,349500,324950,NA,304980.5,NA,NA,323983.8438,301226.1875,seller,seller_revise,,,NA,NA,NA,1,1,,53061041901,47.91587067,-122.2975464,Single Family Residential,3,2.25,1794,9583,FALSE,FALSE,FALSE,FALSE,FALSE,1990,NA,45,NA,33,0,2014/4/11 23:59,2014/9/18,,2014/7/19 09:39,,2014/5/26,98275,2014
8c342b6a40a3a25cc9e938de08674b6b_2019-12-05,2,1,fec6ac3a8427fca9216229f3c7b28be5,af35c1cced824f22670235c06641ba41,74086e7975a7588b9b7d63fe60c43029,8c342b6a40a3a25cc9e938de08674b6b,df6af7afd03086cd9331f08187159a9a,545000,549990,549900,549900,366.6600037,465925.125,464783.5625,309.8557129,470114.1563,470114.1563,buyer,buyer_offer,FALSE,FALSE,NA,0,1,1,1,Offer Rejected (Other Reason),6073019206,33.21654892,-117.2393036,Single Family Residential,3,2,1500,12484,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,68,38,31,0,2019/12/5 00:00,2019/12/29,2020/1/29 00:00,2019/12/31 20:10,,2019/12/31,92084,2019
8c342b6a40a3a25cc9e938de08674b6b_2019-12-05,1,1,,,74086e7975a7588b9b7d63fe60c43029,8c342b6a40a3a25cc9e938de08674b6b,,549900,549990,549900,549900,366.6600037,470114.1563,464783.5625,309.8557129,470114.1563,470114.1563,seller,seller_initialize,,,NA,NA,NA,1,1,,6073019206,33.21654892,-117.2393036,Single Family Residential,3,2,1500,12484,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,68,38,31,0,2019/12/5 00:00,2019/12/29,2020/1/29 00:00,2019/12/31 20:10,,2019/12/5,92084,2019
